Metric_Code,Base Year,Value
MLCON000018758,2000,1.48156E+12
MLCON000003641,2002,6.26E+12
MLCON000003642,2002,7.77E+12
MLCON000003643,2002,8.01E+12
MLCON000003644,2002,7.75E+12
MLCON000003645,2002,7.37E+12
MLCON000003646,2002,7.18E+12
MLCON000003647,2002,7.09E+12
MLCON000003648,2002,7.06E+12
MLCON000003649,2002,6.89E+12
MLCON000003650,2002,6.65E+12
MLCON000003651,2002,6.07E+12
MLCON000003652,2002,5.31E+12
MLCON000003653,2002,6.05E+12
MLCON000003654,2002,5.69E+12
MLCON000003655,2002,5.23E+12
MLCON000003656,2002,4.72E+12
MLCON000003657,2002,4.38E+12
MLCON000003658,2002,3.82E+12
MLCON000003659,2002,3.50E+12
MLCON000003660,2002,3.30E+12
MLCON000003661,2002,3.31E+12
MLCON000003662,2002,2.85E+12
MLCON000003663,2002,2.63E+12
MLCON000003664,2002,2.37E+12
MLCON000003665,2002,2.17E+12
MLCON000003666,2002,2.28E+12
MLCON000003667,2002,1.97E+12
MLCON000003668,2002,1.74E+12
MLCON000007623,2002,7.26747E+12
MLCON000007624,2002,7.02905E+12
MLCON000007625,2002,6.75268E+12
MLCON000007626,2002,6.59603E+12
MLCON000007627,2002,6.42252E+12
MLCON000007628,2002,6.26082E+12
MLCON000007629,2002,6.19433E+12
MLCON000007630,2002,6.1274E+12
MLCON000007631,2002,5.71079E+12
MLCON000007632,2002,5.58386E+12
MLCON000007633,2002,5.25503E+12
MLCON000007634,2002,5.17819E+12
MLCON000007635,2002,5.01413E+12
MLCON000007636,2002,4.8845E+12
MLCON000007637,2002,4.7563E+12
MLCON000007638,2002,4.53318E+12
MLCON000011610,2002,1.02666E+13
MLCON000011611,2002,1.09321E+13
MLCON000011612,2002,1.06898E+13
MLCON000011613,2002,1.02599E+13
MLCON000011614,2002,9.8485E+12
MLCON000011615,2002,9.52143E+12
MLCON000011616,2002,9.23209E+12
MLCON000011617,2002,9.14208E+12
MLCON000011618,2002,8.90282E+12
MLCON000011619,2002,8.30156E+12
MLCON000011620,2002,8.2324E+12
MLCON000011621,2002,7.65709E+12
MLCON000011622,2002,7.71034E+12
MLCON000011623,2002,7.57954E+12
MLCON000011624,2002,7.18881E+12
MLCON000011625,2002,6.84859E+12
MLCON000011626,2002,6.57333E+12
MLCON000015513,2002,2.7207E+12
MLCON000015514,2002,2.81997E+12
MLCON000015515,2002,2.42835E+12
MLCON000015516,2002,2.18829E+12
MLCON000015517,2002,2.27376E+12
MLCON000015518,2002,2.22608E+12
MLCON000015519,2002,2.53957E+12
MLCON000015520,2002,2.4522E+12
MLCON000015521,2002,2.19685E+12
MLCON000015522,2002,2.14025E+12
MLCON000015523,2002,1.62158E+12
MLCON000015524,2002,2.15717E+12
MLCON000015525,2002,1.97456E+12
MLCON000015526,2002,1.94918E+12
MLCON000015527,2002,2.07355E+12
MLCON000015528,2002,1.7041E+12
MLCON000019459,2002,6.06649E+12
MLCON000019460,2002,6.99549E+12
MLCON000019461,2002,7.37662E+12
MLCON000019462,2002,6.8129E+12
MLCON000019463,2002,6.41352E+12
MLCON000019464,2002,6.47776E+12
MLCON000019465,2002,6.4775E+12
MLCON000019466,2002,6.83991E+12
MLCON000019467,2002,6.72685E+12
MLCON000019468,2002,6.36835E+12
MLCON000019469,2002,5.66578E+12
MLCON000019470,2002,4.60799E+12
MLCON000019471,2002,5.81613E+12
MLCON000019472,2002,5.22101E+12
MLCON000019473,2002,5.01055E+12
MLCON000019474,2002,4.86728E+12
MLCON000019475,2002,4.18908E+12
MLCON000019476,2002,3.48205E+12
