Uniq ID,Year,From Currency,To Currency,Average,Inv Avg
CURR_21654,1968,CNY,AED,1.934309,0.516980482
CURR_21655,1967,CNY,AED,1.934309,0.516980482
CURR_21656,1966,CNY,AED,1.934309,0.516980482
CURR_21657,2021,CNY,AFA,12952.00027,7.72082E-05
CURR_21658,2020,CNY,AFA,11116.99266,8.99524E-05
CURR_21659,2019,CNY,AFA,11226.97667,8.90712E-05
CURR_21660,2018,CNY,AFA,10852.81948,9.2142E-05
CURR_21661,2017,CNY,AFA,10057.39425,9.94293E-05
CURR_21662,2016,CNY,AFA,10205.83579,9.79832E-05
CURR_21663,2015,CNY,AFA,9737.911737,0.000102691
CURR_21664,2014,CNY,AFA,9197.743119,0.000108722
CURR_21665,2013,CNY,AFA,8814.657221,0.000113447
CURR_21666,2012,CNY,AFA,7794.107368,0.000128302
CURR_21667,2011,CNY,AFA,6884.116112,0.000145262
CURR_21668,2010,CNY,AFA,6678.739797,0.000149729
CURR_21669,2009,CNY,AFA,7086.372903,0.000141116
CURR_21670,2008,CNY,AFA,6558.30084,0.000152479
CURR_21671,2007,CNY,AFA,5659.735447,0.000176687
CURR_21672,2006,CNY,AFA,5395.750744,0.000185331
CURR_21673,2005,CNY,AFA,5251.910604,0.000190407
CURR_21674,2004,CNY,AFA,5227.200125,0.000191307
CURR_21675,2003,CNY,AFA,5228.791366,0.000191249
CURR_21676,2002,CNY,AFA,5742.902185,0.000174128
CURR_21677,2001,CNY,AFA,5748.07524,0.000173971
CURR_21678,2000,CNY,AFA,5838.608613,0.000171274
CURR_21679,1999,CNY,AFA,6179.100751,0.000161836
CURR_21680,1998,CNY,AFA,5665.484104,0.000176507
CURR_21681,1997,CNY,AFA,6351.023503,0.000157455
CURR_21682,1996,CNY,AFA,5898.037819,0.000169548
CURR_21683,1995,CNY,AFA,4110.333108,0.000243289
CURR_21684,1994,CNY,AFA,4818.110468,0.00020755
CURR_21685,1993,CNY,AFA,8022.14442,0.000124655
CURR_21686,1992,CNY,AFA,8399.4208,0.000119056
CURR_21687,1991,CNY,AFA,9269.86387,0.000107876
CURR_21688,1990,CNY,AFA,8822.851013,0.000113342
CURR_21689,1989,CNY,AFA,12628.28971,7.91873E-05
CURR_21690,1988,CNY,AFA,13238.54833,7.5537E-05
CURR_21691,1987,CNY,AFA,11142.86576,8.97435E-05
CURR_21692,1986,CNY,AFA,11799.88075,8.47466E-05
CURR_21693,1985,CNY,AFA,14309.14669,6.98854E-05
CURR_21694,1984,CNY,AFA,20374.49613,4.9081E-05
CURR_21695,1983,CNY,AFA,24638.39779,4.05871E-05
CURR_21696,1982,CNY,AFA,26148.74919,3.82427E-05
CURR_21697,1981,CNY,AFA,30290.07334,3.30141E-05
CURR_21698,1980,CNY,AFA,26174.21156,3.82055E-05
CURR_21699,1979,CNY,AFA,24837.48997,4.02617E-05
CURR_21700,1978,CNY,AFA,23674.65746,4.22393E-05
CURR_21701,1977,CNY,AFA,21454.48524,4.66103E-05
CURR_21702,1976,CNY,AFA,20530.88148,4.87071E-05
CURR_21703,1975,CNY,AFA,21431.68798,4.66599E-05
CURR_21704,1974,CNY,AFA,20323.60458,4.92039E-05
CURR_21705,1973,CNY,AFA,20035.35374,4.99118E-05
CURR_21706,1972,CNY,AFA,17753.88142,5.63257E-05
CURR_21707,1971,CNY,AFA,16190.79515,6.17635E-05
CURR_21708,1970,CNY,AFA,16190.79515,6.17635E-05
CURR_21709,1969,CNY,AFA,16190.79515,6.17635E-05
CURR_21710,1968,CNY,AFA,16190.79515,6.17635E-05
CURR_21711,1967,CNY,AFA,16190.79515,6.17635E-05
CURR_21712,1966,CNY,AFA,16190.79515,6.17635E-05
CURR_21713,1965,CNY,AFA,16190.79515,6.17635E-05
CURR_21714,1964,CNY,AFA,16190.79515,6.17635E-05
CURR_21715,1963,CNY,AFA,14691.64742,6.80659E-05
CURR_21716,1962,CNY,AFA,7195.908944,0.000138968
