Metric_Code,Base Year,Value,Value type,Metric name
MLCON000010886,2000,9.21E+12,Absolute,Exports of goods and services - Constant
MLCON000010887,2000,8.67E+12,Absolute,Exports of goods and services - Constant
MLCON000010888,2000,8.12E+12,Absolute,Exports of goods and services - Constant
MLCON000010889,2000,7.60E+12,Absolute,Exports of goods and services - Constant
MLCON000010890,2000,7.17E+12,Absolute,Exports of goods and services - Constant
MLCON000010891,2000,6.75E+12,Absolute,Exports of goods and services - Constant
MLCON000010892,2000,6.31E+12,Absolute,Exports of goods and services - Constant
MLCON000010893,2000,5.91E+12,Absolute,Exports of goods and services - Constant
MLCON000010894,2000,5.70E+12,Absolute,Exports of goods and services - Constant
MLCON000010895,2000,5.30E+12,Absolute,Exports of goods and services - Constant
MLCON000010896,2000,5.24E+12,Absolute,Exports of goods and services - Constant
MLCON000010897,2000,5.03E+12,Absolute,Exports of goods and services - Constant
MLCON000010898,2000,4.72E+12,Absolute,Exports of goods and services - Constant
MLCON000010899,2000,4.48E+12,Absolute,Exports of goods and services - Constant
MLCON000010900,2000,4.28E+12,Absolute,Exports of goods and services - Constant
MLCON000010901,2000,4.01E+12,Absolute,Exports of goods and services - Constant
MLCON000010902,2000,3.82E+12,Absolute,Exports of goods and services - Constant
MLCON000010903,2000,3.68E+12,Absolute,Exports of goods and services - Constant
MLCON000010904,2000,3.58E+12,Absolute,Exports of goods and services - Constant
MLCON000010905,2000,3.43E+12,Absolute,Exports of goods and services - Constant
MLCON000010906,2000,3.33E+12,Absolute,Exports of goods and services - Constant
MLCON000010907,2000,3.35E+12,Absolute,Exports of goods and services - Constant
MLCON000010908,2000,3.18E+12,Absolute,Exports of goods and services - Constant
MLCON000010909,2000,3.01E+12,Absolute,Exports of goods and services - Constant
MLCON000014819,2000,2.82E+12,Absolute,Exports of goods and services - Constant
MLCON000014820,2000,2.84E+12,Absolute,Exports of goods and services - Constant
MLCON000014821,2000,2.51E+12,Absolute,Exports of goods and services - Constant
MLCON000014822,2000,2.29E+12,Absolute,Exports of goods and services - Constant
MLCON000014823,2000,1.84E+12,Absolute,Exports of goods and services - Constant
MLCON000014824,2000,1.55E+12,Absolute,Exports of goods and services - Constant
MLCON000014825,2000,1.49E+12,Absolute,Exports of goods and services - Constant
MLCON000014826,2000,1.16E+12,Absolute,Exports of goods and services - Constant
