,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,18,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC1,0,130,4,No
1,Albania,2008,76,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC2,0,130,8,No
2,Algeria,2008,45,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC3,0,130,12,No
3,Andorra,2008,84,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC4,0,130,20,No
4,Angola,2008,14,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC5,0,130,24,No
5,Antigua and Barbuda,2008,69,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC6,0,130,28,No
6,Argentina,2008,67,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC7,0,130,32,No
7,Armenia,2008,77,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC8,0,130,51,No
8,Australia,2008,79,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC9,0,130,36,No
9,Austria,2008,84,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC10,0,130,40,No
10,Azerbaijan,2008,66,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC11,0,130,31,No
11,Bahamas,2008,57,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC12,0,130,44,No
12,Bahrain,2008,67,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC13,0,130,48,No
13,Bangladesh,2008,34,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC14,0,130,50,No
14,Barbados,2008,73,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC15,0,130,52,No
15,Belarus,2008,72,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC16,0,130,112,No
16,Belgium,2008,78,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC17,0,130,56,No
17,Belize,2008,43,Years of Life Lost Noncommunicable,Percent,All,All,YLLNC18,0,130,84,No
